V,E,T(n) fibo
1250.0, 780625.0, 27.497933
1250.0, 780625.0, 25.730556
1250.0, 780625.0, 1.74595
1250.0, 780625.0, 48.540906
1250.0, 780625.0, 43.418991
1250.0, 780625.0, 42.587408
1250.0, 780625.0, 41.46887
1250.0, 780625.0, 65.998001
1250.0, 780625.0, 26.550157
1250.0, 780625.0, 62.243231
1250.0, 780625.0, 81.038804
1250.0, 780625.0, 21.893714
1250.0, 780625.0, 58.210888
1250.0, 780625.0, 55.586728
1250.0, 780625.0, 0.919337
1450.0, 1050525.0, 63.986988
1450.0, 1050525.0, 384.214207
1450.0, 1050525.0, 81.90689
1450.0, 1050525.0, 3.004909
1450.0, 1050525.0, 88.534548
1450.0, 1050525.0, 64.784496
1450.0, 1050525.0, 53.463228
1450.0, 1050525.0, 64.817069
1450.0, 1050525.0, 24.249573
1450.0, 1050525.0, 77.361179
1450.0, 1050525.0, 32.45488
1450.0, 1050525.0, 81.300593
1450.0, 1050525.0, 22.580902
1450.0, 1050525.0, 195.797401
1450.0, 1050525.0, 37.409076
1450.0, 1050525.0, 75.133736
1450.0, 1050525.0, 84.49418
1450.0, 1050525.0, 80.226832
1450.0, 1050525.0, 91.15834
1450.0, 1050525.0, 41.78308
1450.0, 1050525.0, 86.689511
1450.0, 1050525.0, 34.180747
1450.0, 1050525.0, 74.643949
1450.0, 1050525.0, 81.158432
1450.0, 1050525.0, 2.211477
1450.0, 1050525.0, 6.880443
1450.0, 1050525.0, 69.922331
1450.0, 1050525.0, 75.686797
1450.0, 1050525.0, 21.468843
1450.0, 1050525.0, 74.693123
1450.0, 1050525.0, 64.333196
1450.0, 1050525.0, 36.892612
1450.0, 1050525.0, 60.825447
1450.0, 1050525.0, 76.14951
1450.0, 1050525.0, 30.965889
1450.0, 1050525.0, 32.526698
1450.0, 1050525.0, 38.045162
1450.0, 1050525.0, 20.889206
1450.0, 1050525.0, 67.331287
1450.0, 1050525.0, 15.894765
1650.0, 1360425.0, 86.881698
1650.0, 1360425.0, 114.359575
1650.0, 1360425.0, 124.669892
1650.0, 1360425.0, 44.358737
1650.0, 1360425.0, 34.815351
1650.0, 1360425.0, 16.133942
1650.0, 1360425.0, 54.626856
1650.0, 1360425.0, 45.360085
1650.0, 1360425.0, 2021.561797
1650.0, 1360425.0, 70.734985
1650.0, 1360425.0, 119.23164
1650.0, 1360425.0, 91.305712
1650.0, 1360425.0, 124.355353
1650.0, 1360425.0, 86.150219
1650.0, 1360425.0, 107.328649
1650.0, 1360425.0, 10.240713
1650.0, 1360425.0, 13.983548
1650.0, 1360425.0, 7.500758
1650.0, 1360425.0, 33.514697
1650.0, 1360425.0, 29.216635
1650.0, 1360425.0, 108.311272
1650.0, 1360425.0, 80.12912
1650.0, 1360425.0, 77.199917
1650.0, 1360425.0, 6.058476
1650.0, 1360425.0, 20.211909
1650.0, 1360425.0, 21.134335
1650.0, 1360425.0, 97.953536
1650.0, 1360425.0, 49.425021
1650.0, 1360425.0, 76.079584
1650.0, 1360425.0, 11.430776
1650.0, 1360425.0, 89.720269
1650.0, 1360425.0, 41.684781
1650.0, 1360425.0, 13.582713
1650.0, 1360425.0, 122.507895
1650.0, 1360425.0, 92.471094
1650.0, 1360425.0, 44.519903
1650.0, 1360425.0, 121.768444
1650.0, 1360425.0, 83.120826
1650.0, 1360425.0, 126.566273
1650.0, 1360425.0, 45.288811
1850.0, 1710325.0, 85.425668
1850.0, 1710325.0, 63.348778
1850.0, 1710325.0, 121.579662
1850.0, 1710325.0, 154.047007
1850.0, 1710325.0, 168.988955
1850.0, 1710325.0, 345.340949
1850.0, 1710325.0, 106.579955
1850.0, 1710325.0, 57.938311
1850.0, 1710325.0, 2.68079
1850.0, 1710325.0, 174.751314
1850.0, 1710325.0, 222.979064
1850.0, 1710325.0, 196.602027
1850.0, 1710325.0, 236.207743
1850.0, 1710325.0, 243.507717
1850.0, 1710325.0, 86.280643
1850.0, 1710325.0, 252.266112
1850.0, 1710325.0, 148.272877
1850.0, 1710325.0, 129.221234
1850.0, 1710325.0, 167.745879
1850.0, 1710325.0, 60.409957
1850.0, 1710325.0, 173.751522
1850.0, 1710325.0, 226.195481
1850.0, 1710325.0, 156.286322
1850.0, 1710325.0, 49.53795
1850.0, 1710325.0, 50.458309
1850.0, 1710325.0, 158.291688
1850.0, 1710325.0, 166.548231
1850.0, 1710325.0, 209.987525
1850.0, 1710325.0, 256.599664
1850.0, 1710325.0, 127.499844
1850.0, 1710325.0, 227.223218
1850.0, 1710325.0, 44.700268
1850.0, 1710325.0, 138.605631
1850.0, 1710325.0, 15.734196
1850.0, 1710325.0, 224.608486
1850.0, 1710325.0, 260.431746
1850.0, 1710325.0, 216.223588
1850.0, 1710325.0, 116.410654
1850.0, 1710325.0, 66.601171
1850.0, 1710325.0, 26.20825
2001.0, 2001000.0, 167.85117
2001.0, 2001000.0, 415.222116
2001.0, 2001000.0, 181.502272
2001.0, 2001000.0, 24.94095
2001.0, 2001000.0, 23.607099
2001.0, 2001000.0, 140.187216
2001.0, 2001000.0, 143.248728
2001.0, 2001000.0, 252.352269
2001.0, 2001000.0, 131.647182
2001.0, 2001000.0, 186.072578
2001.0, 2001000.0, 95.472576
2001.0, 2001000.0, 37.762225
2001.0, 2001000.0, 184.977576
2001.0, 2001000.0, 8.902939
2001.0, 2001000.0, 59.501318
2001.0, 2001000.0, 126.645434
2001.0, 2001000.0, 35.967243
2001.0, 2001000.0, 149.741704
2001.0, 2001000.0, 40.981179
2001.0, 2001000.0, 77.845519
2001.0, 2001000.0, 84.426381
2001.0, 2001000.0, 128.279783
2001.0, 2001000.0, 190.478855
2001.0, 2001000.0, 25.335288
2001.0, 2001000.0, 118.820313
2001.0, 2001000.0, 9.681214
2001.0, 2001000.0, 180.777847
2001.0, 2001000.0, 65.204897
2001.0, 2001000.0, 181.474008
2001.0, 2001000.0, 52.971729
2001.0, 2001000.0, 2.74733
2001.0, 2001000.0, 101.759043
2001.0, 2001000.0, 163.481464
2001.0, 2001000.0, 97.218215
2001.0, 2001000.0, 97.533289
2001.0, 2001000.0, 64.144897
2001.0, 2001000.0, 72.357482
2001.0, 2001000.0, 195.443787
2001.0, 2001000.0, 6.630939
2001.0, 2001000.0, 225.292095
