V,E,T(n) fibo
875.0, 382375.0, 36.88075
875.0, 382375.0, 49.886297
1000.0, 499500.0, 57.877374
1000.0, 499500.0, 17.962803
1000.0, 499500.0, 315.029826
1000.0, 499500.0, 4.330498
1000.0, 499500.0, 40.240075
1000.0, 499500.0, 35.107402
1000.0, 499500.0, 25.79224
1000.0, 499500.0, 16.870625
1000.0, 499500.0, 3.36062
1000.0, 499500.0, 38.109124
1000.0, 499500.0, 37.784112
1000.0, 499500.0, 48.489887
1000.0, 499500.0, 35.117615
1000.0, 499500.0, 0.96161
1000.0, 499500.0, 3.394783
1000.0, 499500.0, 16.491009
1000.0, 499500.0, 33.123898
1000.0, 499500.0, 52.29299
1000.0, 499500.0, 68.210906
1000.0, 499500.0, 11.307258
1000.0, 499500.0, 52.792961
1000.0, 499500.0, 37.372119
1000.0, 499500.0, 42.537686
1000.0, 499500.0, 31.734765
1000.0, 499500.0, 42.270934
1000.0, 499500.0, 24.818169
1000.0, 499500.0, 187.260263
1000.0, 499500.0, 51.11934
1000.0, 499500.0, 34.241609
1000.0, 499500.0, 59.09555
1000.0, 499500.0, 27.926654
1000.0, 499500.0, 11.523889
1000.0, 499500.0, 36.562073
1000.0, 499500.0, 1.910651
1000.0, 499500.0, 40.24285
1000.0, 499500.0, 8.558622
1000.0, 499500.0, 32.420126
1000.0, 499500.0, 26.163102
1000.0, 499500.0, 26.985861
1000.0, 499500.0, 35.497446
1125.0, 632250.0, 90.108849
1125.0, 632250.0, 94.949261
1125.0, 632250.0, 68.101051
1125.0, 632250.0, 72.978099
1125.0, 632250.0, 77.773782
1125.0, 632250.0, 20.888807
1125.0, 632250.0, 10.566175
1125.0, 632250.0, 33.634479
1125.0, 632250.0, 9.422797
1125.0, 632250.0, 73.771697
1125.0, 632250.0, 21.204785
1125.0, 632250.0, 9.306915
1125.0, 632250.0, 55.581141
1125.0, 632250.0, 333.869031
1125.0, 632250.0, 43.870232
1125.0, 632250.0, 7.685111
1125.0, 632250.0, 46.186665
1125.0, 632250.0, 22.811058
1125.0, 632250.0, 7.078574
1125.0, 632250.0, 9.033582
1125.0, 632250.0, 44.67642
1125.0, 632250.0, 34.178024
1125.0, 632250.0, 37.498906
1125.0, 632250.0, 46.718924
1125.0, 632250.0, 16.402108
1125.0, 632250.0, 1.497173
1125.0, 632250.0, 42.493853
1125.0, 632250.0, 3.651712
1125.0, 632250.0, 64.542955
1125.0, 632250.0, 48.235377
1125.0, 632250.0, 49.169998
1125.0, 632250.0, 70.17511
1125.0, 632250.0, 70.112577
1125.0, 632250.0, 57.410366
1125.0, 632250.0, 113.820841
1125.0, 632250.0, 20.315539
1125.0, 632250.0, 60.88824
1125.0, 632250.0, 77.700009
1125.0, 632250.0, 78.348142
1125.0, 632250.0, 14.327491
1250.0, 780625.0, 20.523491
1250.0, 780625.0, 81.427506
1250.0, 780625.0, 95.630113
1250.0, 780625.0, 96.768613
1250.0, 780625.0, 91.214284
1250.0, 780625.0, 5.559348
1250.0, 780625.0, 83.893961
1250.0, 780625.0, 1633.135947
1250.0, 780625.0, 5.247448
1250.0, 780625.0, 23.131209
1250.0, 780625.0, 54.632542
1250.0, 780625.0, 24.58694
1250.0, 780625.0, 44.072505
1250.0, 780625.0, 72.269724
1250.0, 780625.0, 73.670915
1250.0, 780625.0, 75.900414
1250.0, 780625.0, 75.451638
1250.0, 780625.0, 37.28889
1250.0, 780625.0, 95.786293
1250.0, 780625.0, 71.597446
1250.0, 780625.0, 17.801422
1250.0, 780625.0, 18.525209
1250.0, 780625.0, 25.649119
1250.0, 780625.0, 14.601252
1250.0, 780625.0, 4.554338
1250.0, 780625.0, 88.269926
1250.0, 780625.0, 47.044005
1250.0, 780625.0, 22.581843
1250.0, 780625.0, 70.023094
1250.0, 780625.0, 68.958745
1250.0, 780625.0, 69.516629
1250.0, 780625.0, 42.099162
1250.0, 780625.0, 4.055468
1250.0, 780625.0, 62.11121
1250.0, 780625.0, 12.871454
1250.0, 780625.0, 38.938907
1250.0, 780625.0, 53.98408
1250.0, 780625.0, 52.280643
1250.0, 780625.0, 3.082351
1250.0, 780625.0, 33.274877
1375.0, 944625.0, 91.868486
1375.0, 944625.0, 103.930453
1375.0, 944625.0, 104.606328
1375.0, 944625.0, 51.986393
1375.0, 944625.0, 19.797618
1375.0, 944625.0, 106.429869
1375.0, 944625.0, 116.838593
1375.0, 944625.0, 126.070588
1375.0, 944625.0, 49.585107
1375.0, 944625.0, 117.851441
1375.0, 944625.0, 117.985303
1375.0, 944625.0, 17.416162
1375.0, 944625.0, 10.051325
1375.0, 944625.0, 21.172042
1375.0, 944625.0, 44.027081
1375.0, 944625.0, 19.505855
1375.0, 944625.0, 66.041376
1375.0, 944625.0, 75.821588
1375.0, 944625.0, 60.474083
1375.0, 944625.0, 25.137828
1375.0, 944625.0, 82.418912
1375.0, 944625.0, 75.398723
1375.0, 944625.0, 38.736561
1375.0, 944625.0, 67.754627
1375.0, 944625.0, 97.205026
1375.0, 944625.0, 19.654031
1375.0, 944625.0, 45.899963
1375.0, 944625.0, 52.4616
1375.0, 944625.0, 61.620026
1375.0, 944625.0, 76.880706
1375.0, 944625.0, 5.512137
