V,E,T(n) binary
1100.0, 604450.0, 59.240217
1100.0, 604450.0, 443.969789
1100.0, 604450.0, 81.220351
1100.0, 604450.0, 21.827992
1100.0, 604450.0, 1.815324
1100.0, 604450.0, 15.540631
1100.0, 604450.0, 17.331322
1100.0, 604450.0, 71.897496
1100.0, 604450.0, 23.082522
1100.0, 604450.0, 75.423974
1100.0, 604450.0, 44.722292
1100.0, 604450.0, 49.430196
1100.0, 604450.0, 45.037144
1100.0, 604450.0, 43.231577
1100.0, 604450.0, 19.813667
1100.0, 604450.0, 27.475451
1100.0, 604450.0, 18.313971
1100.0, 604450.0, 62.5327
1100.0, 604450.0, 52.202646
1100.0, 604450.0, 9.557972
1100.0, 604450.0, 21.146234
1100.0, 604450.0, 5.604657
1100.0, 604450.0, 51.773091
1100.0, 604450.0, 0.307019
1100.0, 604450.0, 2.860957
1100.0, 604450.0, 45.737924
1200.0, 719400.0, 67.756056
1200.0, 719400.0, 56.182875
1200.0, 719400.0, 35.14165
1200.0, 719400.0, 40.634606
1200.0, 719400.0, 66.773052
1200.0, 719400.0, 10.232669
1200.0, 719400.0, 38.849787
1200.0, 719400.0, 23.107009
1200.0, 719400.0, 9.88148
1200.0, 719400.0, 37.241883
1200.0, 719400.0, 55.503907
1200.0, 719400.0, 19.370022
1200.0, 719400.0, 78.09036
1200.0, 719400.0, 95.695
1200.0, 719400.0, 24.670542
1200.0, 719400.0, 369.197782
1200.0, 719400.0, 101.060759
1200.0, 719400.0, 13.924154
1200.0, 719400.0, 35.204877
1200.0, 719400.0, 73.063156
1200.0, 719400.0, 98.968066
1200.0, 719400.0, 88.54758
1200.0, 719400.0, 43.13977
1200.0, 719400.0, 101.24376
1200.0, 719400.0, 27.914592
1200.0, 719400.0, 8.248247
1200.0, 719400.0, 36.629235
1200.0, 719400.0, 59.439313
1200.0, 719400.0, 46.532983
1200.0, 719400.0, 89.975411
1200.0, 719400.0, 18.540942
1200.0, 719400.0, 93.291504
1200.0, 719400.0, 36.154581
1200.0, 719400.0, 82.908197
1200.0, 719400.0, 54.833608
1200.0, 719400.0, 50.553799
1200.0, 719400.0, 69.486574
1200.0, 719400.0, 117.678064
1200.0, 719400.0, 95.6714
1200.0, 719400.0, 57.141715
1300.0, 844350.0, 81.389588
1300.0, 844350.0, 36.2252
1300.0, 844350.0, 0.822643
1300.0, 844350.0, 90.544989
1300.0, 844350.0, 27.494855
1300.0, 844350.0, 105.493091
1300.0, 844350.0, 57.596957
1300.0, 844350.0, 40.408555
1300.0, 844350.0, 31.081468
1300.0, 844350.0, 101.846959
1300.0, 844350.0, 39.003818
1300.0, 844350.0, 49.290212
1300.0, 844350.0, 79.069287
1300.0, 844350.0, 73.437401
1300.0, 844350.0, 75.036888
1300.0, 844350.0, 29.775406
1300.0, 844350.0, 185.991189
1300.0, 844350.0, 20.922881
1300.0, 844350.0, 37.317948
1300.0, 844350.0, 24.162485
1300.0, 844350.0, 15.300201
1300.0, 844350.0, 30.286411
1300.0, 844350.0, 38.752395
1300.0, 844350.0, 5.767626
1300.0, 844350.0, 17.267418
1300.0, 844350.0, 66.892042
1300.0, 844350.0, 56.405273
1300.0, 844350.0, 70.989823
1300.0, 844350.0, 57.502638
1300.0, 844350.0, 54.575442
1300.0, 844350.0, 51.27636
1300.0, 844350.0, 14.005184
1300.0, 844350.0, 32.048959
1300.0, 844350.0, 55.024246
1300.0, 844350.0, 3.870926
1300.0, 844350.0, 67.661416
1300.0, 844350.0, 28.076176
1300.0, 844350.0, 21.595399
1300.0, 844350.0, 33.031416
1300.0, 844350.0, 51.188649
1400.0, 979300.0, 52.123242
1400.0, 979300.0, 73.504542
1400.0, 979300.0, 65.063527
1400.0, 979300.0, 74.346225
1400.0, 979300.0, 27.131794
1400.0, 979300.0, 17.187788
1400.0, 979300.0, 325.108668
1400.0, 979300.0, 7.863436
1400.0, 979300.0, 69.507686
1400.0, 979300.0, 7.149723
1400.0, 979300.0, 44.179781
1400.0, 979300.0, 38.254972
1400.0, 979300.0, 59.12989
1400.0, 979300.0, 2.794199
1400.0, 979300.0, 14.755355
1400.0, 979300.0, 11.984248
1400.0, 979300.0, 6.152078
1400.0, 979300.0, 101.679393
1400.0, 979300.0, 48.9942
1400.0, 979300.0, 75.089688
1400.0, 979300.0, 96.124429
1400.0, 979300.0, 69.445055
1400.0, 979300.0, 117.840476
1400.0, 979300.0, 203.447239
1400.0, 979300.0, 135.346503
1400.0, 979300.0, 99.708626
1400.0, 979300.0, 46.271327
1400.0, 979300.0, 72.869561
1400.0, 979300.0, 27.65801
1400.0, 979300.0, 110.183403
1400.0, 979300.0, 80.136446
1400.0, 979300.0, 167.543018
1400.0, 979300.0, 101.723703
1400.0, 979300.0, 89.141355
1400.0, 979300.0, 133.454603
1400.0, 979300.0, 25.813795
1400.0, 979300.0, 97.302651
1400.0, 979300.0, 10.600496
1400.0, 979300.0, 82.214591
1400.0, 979300.0, 84.027558
1500.0, 1124250.0, 97.384288
1500.0, 1124250.0, 190.399242
1500.0, 1124250.0, 87.589882
1500.0, 1124250.0, 64.816155
1500.0, 1124250.0, 14.725727
1500.0, 1124250.0, 101.230077
1500.0, 1124250.0, 124.616138
1500.0, 1124250.0, 160.587958
1500.0, 1124250.0, 89.035392
1500.0, 1124250.0, 236.146302
1500.0, 1124250.0, 51.036991
1500.0, 1124250.0, 83.357798
1500.0, 1124250.0, 36.520928
1500.0, 1124250.0, 69.880646
1500.0, 1124250.0, 66.39268
1500.0, 1124250.0, 145.505616
1500.0, 1124250.0, 67.554401
1500.0, 1124250.0, 27.920782
1500.0, 1124250.0, 81.558276
1500.0, 1124250.0, 123.207654
1500.0, 1124250.0, 16.285678
1500.0, 1124250.0, 132.460539
1500.0, 1124250.0, 118.575785
1500.0, 1124250.0, 154.585754
1500.0, 1124250.0, 108.941898
1500.0, 1124250.0, 105.384285
1500.0, 1124250.0, 112.15509
1500.0, 1124250.0, 99.134708
1500.0, 1124250.0, 81.483908
1500.0, 1124250.0, 14.328722
1500.0, 1124250.0, 86.188113
1500.0, 1124250.0, 23.554362
1500.0, 1124250.0, 54.356311
1500.0, 1124250.0, 40.346501
1500.0, 1124250.0, 100.535773
1500.0, 1124250.0, 140.281857
1500.0, 1124250.0, 39.290986
